Gender,Age,BMI,Duration,Heart Rate,Body Temperature,Calorie Consumption
male,68,26.04,29.0,105.0,40.8,231.0
female,20,21.77,14.0,94.0,40.3,66.0
male,69,24.66,5.0,88.0,38.7,26.0
female,34,22.16,13.0,100.0,40.5,71.0
female,27,24.46,10.0,81.0,39.8,35.0
female,36,21.93,23.0,96.0,40.7,123.0
female,33,22.43,22.0,95.0,40.5,112.0
male,41,27.76,25.0,100.0,40.7,143.0
male,60,27.17,21.0,97.0,40.4,134.0
female,26,23.93,16.0,90.0,40.2,72.0
female,36,24.26,1.0,74.0,37.8,3.0
female,21,22.72,17.0,100.0,40.0,92.0
male,66,27.02,11.0,90.0,40.0,58.0
female,32,21.91,18.0,93.0,40.4,88.0
male,53,25.66,2.0,82.0,38.1,7.0
female,39,25.48,28.0,104.0,40.8,170.0
male,39,24.76,4.0,82.0,38.6,11.0
male,46,23.46,11.0,89.0,40.2,43.0
female,27,22.23,4.0,85.0,38.6,15.0
male,50,24.33,14.0,94.0,40.2,74.0
male,67,26.04,8.0,77.0,39.2,29.0
female,31,22.83,8.0,84.0,39.5,32.0
female,33,24.34,3.0,80.0,38.7,10.0
female,20,21.67,29.0,100.0,41.0,155.0
male,48,25.66,1.0,80.0,37.7,3.0
male,29,24.21,10.0,83.0,39.7,24.0
male,33,24.39,7.0,78.0,39.3,12.0
male,42,24.38,3.0,83.0,38.9,10.0
female,62,23.34,29.0,106.0,41.2,195.0
male,38,25.65,2.0,81.0,38.2,5.0
male,20,26.28,16.0,97.0,40.5,69.0
female,25,23.05,24.0,102.0,40.3,136.0
female,24,21.67,18.0,91.0,40.2,80.0
female,42,24.98,22.0,93.0,40.8,107.0
male,22,25.36,29.0,114.0,41.0,200.0
female,74,23.63,10.0,93.0,39.6,56.0
female,70,24.88,10.0,88.0,40.0,50.0
female,26,24.15,21.0,96.0,40.5,100.0
male,44,25.4,25.0,114.0,40.8,200.0
male,61,25.68,1.0,81.0,38.3,4.0
female,68,23.12,13.0,92.0,40.1,70.0
female,61,22.6,20.0,104.0,40.5,127.0
male,63,24.97,25.0,108.0,40.8,197.0
female,54,22.57,20.0,98.0,40.1,113.0
female,54,23.11,3.0,80.0,38.9,11.0
female,47,22.89,16.0,93.0,40.5,82.0
male,33,25.4,8.0,86.0,39.9,26.0
female,24,22.57,24.0,105.0,40.6,141.0
male,24,25.77,20.0,96.0,40.6,92.0
male,48,25.54,2.0,79.0,38.0,5.0
male,35,24.97,10.0,83.0,39.7,30.0
male,21,25.16,3.0,78.0,38.5,3.0
female,21,22.78,9.0,90.0,39.6,37.0
female,22,24.84,25.0,105.0,40.6,147.0
female,69,22.79,2.0,80.0,38.1,8.0
male,53,27.69,21.0,106.0,40.7,159.0
female,68,24.14,15.0,100.0,40.3,93.0
female,69,24.17,23.0,113.0,40.4,173.0
male,28,25.76,19.0,95.0,40.6,89.0
male,70,25.18,7.0,82.0,39.3,31.0
female,36,22.15,9.0,84.0,39.6,35.0
female,77,25.54,16.0,98.0,40.6,94.0
female,32,22.59,9.0,99.0,39.7,49.0
female,62,22.5,13.0,84.0,40.4,54.0
female,64,24.56,20.0,97.0,40.4,117.0
male,45,25.8,27.0,104.0,40.6,173.0
male,45,24.44,20.0,97.0,40.7,99.0
female,22,22.66,10.0,93.0,39.8,45.0
male,45,24.16,22.0,113.0,40.6,166.0
female,66,22.79,28.0,111.0,40.9,202.0
male,31,25.06,20.0,101.0,40.9,107.0
female,57,25.59,29.0,109.0,40.7,199.0
male,53,25.23,5.0,90.0,39.1,25.0
female,22,20.91,8.0,77.0,39.5,23.0
male,67,24.96,24.0,108.0,40.7,200.0
female,27,22.68,2.0,76.0,38.2,6.0
male,57,26.2,2.0,79.0,38.1,7.0
female,49,24.09,20.0,99.0,40.6,113.0
female,39,22.32,29.0,108.0,40.7,188.0
male,47,26.45,20.0,96.0,40.3,103.0
male,62,26.02,17.0,103.0,40.3,128.0
male,41,25.45,23.0,99.0,40.7,130.0
female,34,24.11,7.0,83.0,39.3,27.0
female,40,23.34,27.0,111.0,41.2,185.0
female,55,23.73,11.0,92.0,39.8,57.0
male,44,24.64,13.0,94.0,40.0,65.0
female,45,23.44,16.0,99.0,40.4,91.0
female,49,23.8,19.0,105.0,40.4,120.0
female,46,24.68,12.0,101.0,40.1,70.0
male,25,24.51,9.0,94.0,39.8,39.0
male,68,27.36,22.0,95.0,40.5,136.0
female,25,22.41,14.0,101.0,40.2,77.0
female,31,22.13,9.0,93.0,39.5,42.0
male,57,26.88,7.0,95.0,39.2,41.0
female,27,23.34,14.0,88.0,39.9,59.0
male,40,24.26,24.0,110.0,40.7,179.0
female,57,25.31,2.0,73.0,38.6,6.0
female,23,25.81,5.0,74.0,39.2,13.0
male,23,24.36,23.0,110.0,40.0,147.0
male,43,26.28,26.0,107.0,40.7,180.0
male,74,26.48,14.0,96.0,40.1,101.0
female,45,21.23,23.0,106.0,40.7,150.0
female,31,22.04,25.0,115.0,40.8,179.0
male,21,24.46,6.0,93.0,39.2,23.0
male,50,26.59,3.0,80.0,38.3,10.0
male,39,24.16,9.0,93.0,39.5,39.0
male,57,28.36,30.0,112.0,40.9,247.0
female,26,20.96,19.0,92.0,40.5,89.0
male,34,25.34,25.0,102.0,40.9,141.0
female,55,24.22,4.0,87.0,39.1,18.0
female,52,22.91,15.0,89.0,40.6,70.0
male,21,25.46,29.0,110.0,40.8,185.0
female,20,24.33,11.0,94.0,40.1,54.0
female,79,25.97,29.0,107.0,40.8,207.0
male,21,25.48,27.0,114.0,41.0,189.0
male,50,25.31,2.0,82.0,38.1,6.0
female,29,23.46,12.0,97.0,39.9,60.0
male,22,24.44,6.0,92.0,39.0,23.0
female,28,24.03,27.0,113.0,40.8,186.0
male,38,26.31,28.0,104.0,40.9,178.0
male,23,25.56,25.0,102.0,40.7,122.0
female,68,26.9,24.0,108.0,40.5,166.0
male,79,27.76,20.0,102.0,40.1,158.0
female,35,21.13,2.0,83.0,38.4,7.0
male,67,23.76,18.0,105.0,40.5,143.0
female,21,21.37,12.0,82.0,39.8,43.0
female,44,23.96,17.0,92.0,40.2,86.0
female,43,23.51,23.0,100.0,40.7,128.0
male,21,22.84,29.0,111.0,41.0,182.0
female,32,24.22,10.0,98.0,39.7,52.0
male,79,28.4,27.0,107.0,40.4,236.0
male,51,26.04,19.0,97.0,40.6,114.0
female,60,22.13,11.0,99.0,39.7,64.0
male,49,25.4,26.0,103.0,40.8,171.0
male,46,26.22,6.0,82.0,39.2,19.0
female,35,24.32,21.0,111.0,40.5,144.0
male,31,25.69,9.0,94.0,39.7,37.0
male,42,22.79,26.0,110.0,41.4,185.0
female,66,22.79,13.0,87.0,39.8,60.0
male,52,25.2,22.0,96.0,40.5,127.0
male,59,26.49,23.0,101.0,40.4,149.0
male,23,24.86,16.0,102.0,40.1,78.0
female,49,23.42,5.0,91.0,38.9,24.0
female,25,23.12,23.0,107.0,40.8,143.0
male,20,23.77,27.0,104.0,41.0,143.0
female,28,24.84,15.0,94.0,40.1,71.0
male,60,27.17,11.0,90.0,40.2,58.0
female,29,24.3,15.0,95.0,40.4,71.0
male,40,25.7,5.0,88.0,39.5,20.0
male,26,25.49,17.0,96.0,40.3,78.0
